m_size,k_size,n_size,num_cores,duration
640,32,32,10,1849.0
640,32,96,10,2448.0
640,32,192,10,3185.0
640,32,288,10,4600.0
640,32,384,10,5601.0
640,32,480,10,6641.0
640,32,576,10,7705.0
640,32,672,10,8719.0
640,32,768,10,9747.0
640,32,864,10,10792.0
640,96,32,10,2363.0
640,96,96,10,3759.0
640,96,192,10,5749.0
640,96,288,10,8974.0
640,96,384,10,11446.0
640,96,480,10,13847.0
640,96,576,10,16472.0
640,96,672,10,18847.0
640,96,768,10,21519.0
640,96,864,10,23688.0
640,192,32,10,3207.0
640,192,96,10,5767.0
640,192,192,10,9696.0
640,192,288,10,16111.0
640,192,384,10,20952.0
640,192,480,10,25848.0
640,192,576,10,30668.0
640,192,672,10,35569.0
640,192,768,10,40427.0
640,192,864,10,45323.0
640,288,32,10,3907.0
640,288,96,10,7891.0
640,288,192,10,13646.0
640,288,288,10,23295.0
640,288,384,10,30615.0
640,288,480,10,37910.0
640,288,576,10,45118.0
640,288,672,10,52396.0
640,288,768,10,59734.0
640,288,864,10,102133.0
640,384,32,10,4732.0
640,384,96,10,9898.0
640,384,192,10,17557.0
640,384,288,10,30489.0
640,384,384,10,40213.0
640,384,480,10,49758.0
640,384,576,10,59597.0
640,384,672,10,105479.0
640,480,32,10,5537.0
640,480,96,10,11958.0
640,480,192,10,21476.0
640,480,288,10,37745.0
640,480,384,10,49726.0
640,480,480,10,61808.0
640,576,32,10,6267.0
640,576,96,10,14017.0
640,576,192,10,25393.0
640,576,288,10,44961.0
640,576,384,10,59420.0
640,576,480,10,113034.0
640,672,32,10,7119.0
640,672,96,10,16072.0
640,672,192,10,29308.0
640,672,288,10,52123.0
640,768,32,10,7879.0
640,768,96,10,18165.0
640,768,192,10,33299.0
640,768,288,10,59030.0
640,864,32,10,8709.0
640,864,96,10,20183.0
640,864,192,10,37183.0
640,864,288,10,101797.0
960,32,32,10,1966.0
960,32,96,10,2572.0
960,32,192,10,3528.0
960,32,288,10,5540.0
960,32,384,10,6853.0
960,32,480,10,8293.0
960,32,576,10,9552.0
960,32,672,10,10907.0
960,32,768,10,12283.0
960,32,864,10,13533.0
960,96,32,10,2554.0
960,96,96,10,4162.0
960,96,192,10,6542.0
960,96,288,10,10757.0
960,96,384,10,13694.0
960,96,480,10,17239.0
960,96,576,10,19961.0
960,96,672,10,23073.0
960,96,768,10,26183.0
960,96,864,10,29693.0
960,192,32,10,3495.0
960,192,96,10,6594.0
960,192,192,10,11194.0
960,192,288,10,19740.0
960,192,384,10,25788.0
960,192,480,10,31875.0
960,192,576,10,37914.0
960,192,672,10,44000.0
960,192,768,10,50064.0
960,192,864,10,56125.0
960,288,32,10,4499.0
960,288,96,10,9078.0
960,288,192,10,15904.0
960,288,288,10,28669.0
960,288,384,10,37738.0
960,288,480,10,46882.0
960,288,576,10,55894.0
960,288,672,10,64604.0
960,384,32,10,5490.0
960,384,96,10,11556.0
960,384,192,10,20577.0
960,384,288,10,37599.0
960,384,384,10,49685.0
960,384,480,10,61721.0
960,480,32,10,6476.0
960,480,96,10,14068.0
960,480,192,10,25177.0
960,480,288,10,46583.0
960,480,384,10,61275.0
960,576,32,10,7468.0
960,576,96,10,16548.0
960,576,192,10,29818.0
960,576,288,10,55555.0
960,672,32,10,8479.0
960,672,96,10,18991.0
960,672,192,10,34500.0
960,672,288,10,64500.0
960,768,32,10,9503.0
960,768,96,10,21487.0
960,768,192,10,39147.0
960,864,32,10,10436.0
960,864,96,10,23928.0
960,864,192,10,43822.0
1280,32,32,10,2073.0
1280,32,96,10,2730.0
1280,32,192,10,3749.0
1280,32,288,10,6463.0
1280,32,384,10,8129.0
1280,32,480,10,9779.0
1280,32,576,10,11364.0
1280,32,672,10,12964.0
1280,32,768,10,14705.0
1280,32,864,10,16312.0
1280,96,32,10,2745.0
1280,96,96,10,4596.0
1280,96,192,10,7328.0
1280,96,288,10,12567.0
1280,96,384,10,16558.0
1280,96,480,10,20327.0
1280,96,576,10,23675.0
1280,96,672,10,27412.0
1280,96,768,10,31629.0
1280,96,864,10,34536.0
1280,192,32,10,3946.0
1280,192,96,10,7506.0
1280,192,192,10,12740.0
1280,192,288,10,23312.0
1280,192,384,10,30603.0
1280,192,480,10,37911.0
1280,192,576,10,45150.0
1280,192,672,10,52420.0
1280,192,768,10,59614.0
1280,192,864,10,91401.0
1280,288,32,10,5085.0
1280,288,96,10,10406.0
1280,288,192,10,18091.0
1280,288,288,10,34071.0
1280,288,384,10,44827.0
1280,288,480,10,56046.0
1280,288,576,10,66273.0
1280,288,672,10,105760.0
1280,384,32,10,6288.0
1280,384,96,10,13224.0
1280,384,192,10,23481.0
1280,384,288,10,44615.0
1280,384,384,10,58957.0
1280,384,480,10,100540.0
1280,480,32,10,7504.0
1280,480,96,10,16158.0
1280,480,192,10,28909.0
1280,480,288,10,55452.0
1280,576,32,10,8695.0
1280,576,96,10,19066.0
1280,576,192,10,34298.0
1280,576,288,10,66184.0
1280,672,32,10,9829.0
1280,672,96,10,21924.0
1280,672,192,10,39671.0
1280,672,288,10,105550.0
1280,768,32,10,10999.0
1280,768,96,10,24797.0
1280,768,192,10,45045.0
1280,864,32,10,12163.0
1280,864,96,10,27691.0
1280,32,32,20,1873.0
1280,32,96,20,2581.0
1280,32,192,20,3235.0
1280,32,288,20,4688.0
1280,32,384,20,5685.0
1280,32,480,20,6720.0
1280,32,576,20,7751.0
1280,32,672,20,8755.0
1280,32,768,20,9804.0
1280,32,864,20,10803.0
1280,96,32,20,2389.0
1280,96,96,20,3809.0
1280,96,192,20,5797.0
1280,96,288,20,8958.0
1280,96,384,20,11497.0
1280,96,480,20,13933.0
1280,96,576,20,16606.0
1280,96,672,20,19032.0
1280,96,768,20,21552.0
1280,96,864,20,23727.0
1280,192,32,20,3192.0
1280,192,96,20,5813.0
1280,192,192,20,9790.0
1280,192,288,20,16244.0
1280,192,384,20,20992.0
1280,192,480,20,25912.0
1280,192,576,20,30729.0
1280,192,672,20,35639.0
1280,192,768,20,40535.0
1280,192,864,20,45355.0
1280,288,32,20,3977.0
1280,288,96,20,7882.0
1280,288,192,20,13676.0
1280,288,288,20,23346.0
1280,288,384,20,30582.0
1280,288,480,20,38010.0
1280,288,576,20,45151.0
1280,288,672,20,52408.0
1280,288,768,20,59766.0
1280,288,864,20,102278.0
1280,384,32,20,4835.0
1280,384,96,20,9939.0
1280,384,192,20,17578.0
1280,384,288,20,30540.0
1280,384,384,20,40264.0
1280,384,480,20,49848.0
1280,384,576,20,59597.0
1280,384,672,20,105309.0
1280,480,32,20,5551.0
1280,480,96,20,12085.0
1280,480,192,20,21520.0
1280,480,288,20,37719.0
1280,480,384,20,49764.0
1280,480,480,20,61805.0
1280,576,32,20,6328.0
1280,576,96,20,14088.0
1280,576,192,20,25452.0
1280,576,288,20,44984.0
1280,576,384,20,59460.0
1280,576,480,20,113067.0
1280,672,32,20,7128.0
1280,672,96,20,16161.0
1280,672,192,20,29370.0
1280,672,288,20,52191.0
1280,768,32,20,7923.0
1280,768,96,20,18251.0
1280,768,192,20,33335.0
1280,768,288,20,59096.0
1280,864,32,20,8744.0
1280,864,96,20,20261.0
1280,864,192,20,37293.0
1280,864,288,20,101785.0
1600,32,32,10,2211.0
1600,32,96,10,2919.0
1600,32,192,10,4169.0
1600,32,288,10,7393.0
1600,32,384,10,9422.0
1600,32,480,10,11371.0
1600,32,576,10,13219.0
1600,32,672,10,15167.0
1600,32,768,10,17138.0
1600,32,864,10,19088.0
1600,96,32,10,2955.0
1600,96,96,10,5016.0
1600,96,192,10,8127.0
1600,96,288,10,14747.0
1600,96,384,10,18744.0
1600,96,480,10,23521.0
1600,96,576,10,27868.0
1600,96,672,10,31666.0
1600,96,768,10,35976.0
1600,96,864,10,40316.0
1600,192,32,10,4378.0
1600,192,96,10,8320.0
1600,192,192,10,14286.0
1600,192,288,10,26929.0
1600,192,384,10,35368.0
1600,192,480,10,43931.0
1600,192,576,10,52413.0
1600,192,672,10,60854.0
1600,288,32,10,5782.0
1600,288,96,10,11608.0
1600,288,192,10,20358.0
1600,288,288,10,39435.0
1600,288,384,10,51976.0
1600,288,480,10,64618.0
1600,384,32,10,7093.0
1600,384,96,10,14897.0
1600,384,192,10,26456.0
1600,384,288,10,51857.0
1600,384,384,10,68407.0
1600,480,32,10,8480.0
1600,480,96,10,18221.0
1600,480,192,10,32605.0
1600,480,288,10,64339.0
1600,576,32,10,9781.0
1600,576,96,10,21550.0
1600,576,192,10,38733.0
1600,672,32,10,11170.0
1600,672,96,10,24850.0
1600,672,192,10,44839.0
1600,768,32,10,12671.0
1600,768,96,10,28179.0
1600,864,32,10,13923.0
1600,864,96,10,31518.0
1920,32,32,10,2285.0
1920,32,96,10,3087.0
1920,32,192,10,4404.0
1920,32,288,10,8293.0
1920,32,384,10,10726.0
1920,32,480,10,12826.0
1920,32,576,10,15066.0
1920,32,672,10,17294.0
1920,32,768,10,19569.0
1920,32,864,10,21848.0
1920,96,32,10,3117.0
1920,96,96,10,5416.0
1920,96,192,10,8901.0
1920,96,288,10,16561.0
1920,96,384,10,21635.0
1920,96,480,10,26160.0
1920,96,576,10,31698.0
1920,96,672,10,35907.0
1920,96,768,10,40889.0
1920,96,864,10,59428.0
1920,192,32,10,4735.0
1920,192,96,10,9167.0
1920,192,192,10,15769.0
1920,192,288,10,30572.0
1920,192,384,10,40284.0
1920,192,480,10,49857.0
1920,192,576,10,59469.0
1920,192,672,10,89040.0
1920,288,32,10,6256.0
1920,288,96,10,12898.0
1920,288,192,10,22579.0
1920,288,288,10,44754.0
1920,288,384,10,59362.0
1920,288,480,10,95136.0
1920,384,32,10,7868.0
1920,384,96,10,16588.0
1920,384,192,10,29452.0
1920,384,288,10,58936.0
1920,480,32,10,9389.0
1920,480,96,10,20328.0
1920,480,192,10,36321.0
1920,480,288,10,94775.0
1920,576,32,10,10945.0
1920,576,96,10,24038.0
1920,576,192,10,43209.0
1920,576,288,10,112936.0
1920,672,32,10,12539.0
1920,672,96,10,27769.0
1920,672,192,10,67815.0
1920,768,32,10,14128.0
1920,768,96,10,31464.0
1920,768,192,10,77169.0
1920,864,32,10,15799.0
1920,864,96,10,46992.0
1920,864,192,10,108914.0
1920,32,32,20,1974.0
1920,32,96,20,2619.0
1920,32,192,20,3501.0
1920,32,288,20,5597.0
1920,32,384,20,6859.0
1920,32,480,20,8404.0
1920,32,576,20,9568.0
1920,32,672,20,10963.0
1920,32,768,20,12328.0
1920,32,864,20,13547.0
1920,96,32,20,2607.0
1920,96,96,20,4150.0
1920,96,192,20,6576.0
1920,96,288,20,10839.0
1920,96,384,20,14097.0
1920,96,480,20,17167.0
1920,96,576,20,20271.0
1920,96,672,20,23447.0
1920,96,768,20,26602.0
1920,96,864,20,29721.0
1920,192,32,20,3528.0
1920,192,96,20,6641.0
1920,192,192,20,11275.0
1920,192,288,20,19730.0
1920,192,384,20,26036.0
1920,192,480,20,31902.0
1920,192,576,20,37977.0
1920,192,672,20,44043.0
1920,192,768,20,50148.0
1920,192,864,20,56152.0
1920,288,32,20,4591.0
1920,288,96,20,9121.0
1920,288,192,20,15935.0
1920,288,288,20,28695.0
1920,288,384,20,37793.0
1920,288,480,20,46803.0
1920,288,576,20,55847.0
1920,288,672,20,64724.0
1920,384,32,20,5517.0
1920,384,96,20,11597.0
1920,384,192,20,20557.0
1920,384,288,20,37703.0
1920,384,384,20,49725.0
1920,384,480,20,61748.0
1920,480,32,20,6548.0
1920,480,96,20,14123.0
1920,480,192,20,25222.0
1920,480,288,20,46648.0
1920,480,384,20,61553.0
1920,576,32,20,7495.0
1920,576,96,20,16565.0
1920,576,192,20,29934.0
1920,576,288,20,55588.0
1920,672,32,20,8521.0
1920,672,96,20,19035.0
1920,672,192,20,34559.0
1920,672,288,20,64478.0
1920,768,32,20,9488.0
1920,768,96,20,21524.0
1920,768,192,20,39222.0
1920,864,32,20,10463.0
1920,864,96,20,23962.0
1920,864,192,20,43934.0
1920,32,32,30,1896.0
1920,32,96,30,2475.0
1920,32,192,30,3230.0
1920,32,288,30,4709.0
1920,32,384,30,5773.0
1920,32,480,30,6766.0
1920,32,576,30,7817.0
1920,32,672,30,8853.0
1920,32,768,30,9916.0
1920,32,864,30,10873.0
1920,96,32,30,2412.0
1920,96,96,30,3780.0
1920,96,192,30,5852.0
1920,96,288,30,9120.0
1920,96,384,30,11635.0
1920,96,480,30,14029.0
1920,96,576,30,16747.0
1920,96,672,30,19000.0
1920,96,768,30,21768.0
1920,96,864,30,23994.0
1920,192,32,30,3244.0
1920,192,96,30,5949.0
1920,192,192,30,9878.0
1920,192,288,30,16394.0
1920,192,384,30,21296.0
1920,192,480,30,26182.0
1920,192,576,30,31012.0
1920,192,672,30,36102.0
1920,192,768,30,40857.0
1920,192,864,30,45887.0
1920,288,32,30,4019.0
1920,288,96,30,8015.0
1920,288,192,30,13834.0
1920,288,288,30,23576.0
1920,288,384,30,30915.0
1920,288,480,30,38257.0
1920,288,576,30,45764.0
1920,288,672,30,52912.0
1920,288,768,30,60214.0
1920,288,864,30,103598.0
1920,384,32,30,4834.0
1920,384,96,30,10043.0
1920,384,192,30,17816.0
1920,384,288,30,30834.0
1920,384,384,30,40579.0
1920,384,480,30,50261.0
1920,384,576,30,60081.0
1920,384,672,30,107236.0
1920,480,32,30,5618.0
1920,480,96,30,12107.0
1920,480,192,30,21828.0
1920,480,288,30,38034.0
1920,480,384,30,50201.0
1920,480,480,30,62613.0
1920,576,32,30,6384.0
1920,576,96,30,14240.0
1920,576,192,30,25712.0
1920,576,288,30,45389.0
1920,576,384,30,59952.0
1920,576,480,30,114484.0
1920,672,32,30,7201.0
1920,672,96,30,16342.0
1920,672,192,30,29688.0
1920,672,288,30,52651.0
1920,768,32,30,7998.0
1920,768,96,30,18360.0
1920,768,192,30,33648.0
1920,768,288,30,59629.0
1920,864,32,30,8854.0
1920,864,96,30,20535.0
1920,864,192,30,37602.0
1920,864,288,30,103272.0
2240,32,32,10,2371.0
2240,32,96,10,3440.0
2240,32,192,10,4701.0
2240,32,288,10,9325.0
2240,32,384,10,11962.0
2240,32,480,10,14435.0
2240,32,576,10,16953.0
2240,32,672,10,19417.0
2240,32,768,10,22060.0
2240,32,864,10,24711.0
2240,96,32,10,3364.0
2240,96,96,10,5904.0
2240,96,192,10,9682.0
2240,96,288,10,18524.0
2240,96,384,10,23635.0
2240,96,480,10,29063.0
2240,96,576,10,35398.0
2240,96,672,10,41159.0
2240,192,32,10,5082.0
2240,192,96,10,10045.0
2240,192,192,10,17283.0
2240,192,288,10,34139.0
2240,192,384,10,45011.0
2240,192,480,10,56109.0
2240,288,32,10,6907.0
2240,288,96,10,14142.0
2240,288,192,10,24808.0
2240,288,288,10,49785.0
2240,288,384,10,66284.0
2240,384,32,10,8670.0
2240,384,96,10,18257.0
2240,384,192,10,32404.0
2240,384,288,10,65814.0
2240,480,32,10,10439.0
2240,480,96,10,22441.0
2240,480,192,10,40006.0
2240,576,32,10,12132.0
2240,576,96,10,26518.0
2240,672,32,10,13883.0
2240,672,96,10,30700.0
2240,768,32,10,15635.0
2240,864,32,10,17475.0
2560,32,32,10,2493.0
2560,32,96,10,3442.0
2560,32,192,10,5008.0
2560,32,288,10,10291.0
2560,32,384,10,12973.0
2560,32,480,10,15981.0
2560,32,576,10,18756.0
2560,32,672,10,21638.0
2560,32,768,10,24545.0
2560,32,864,10,31202.0
2560,96,32,10,3540.0
2560,96,96,10,6331.0
2560,96,192,10,10469.0
2560,96,288,10,20068.0
2560,96,384,10,26717.0
2560,96,480,10,32901.0
2560,96,576,10,38191.0
2560,96,672,10,54110.0
2560,96,864,10,69798.0
2560,192,32,10,5539.0
2560,192,96,10,10861.0
2560,192,192,10,18725.0
2560,192,288,10,37725.0
2560,192,384,10,49775.0
2560,192,480,10,76449.0
2560,288,32,10,7460.0
2560,288,96,10,15357.0
2560,288,192,10,27104.0
2560,288,288,10,55150.0
2560,288,480,10,113180.0
2560,384,32,10,9377.0
2560,384,96,10,19978.0
2560,384,192,10,35414.0
2560,384,288,10,90912.0
2560,480,32,10,11441.0
2560,480,96,10,24457.0
2560,480,192,10,56506.0
2560,480,288,10,112961.0
2560,576,32,10,13306.0
2560,576,96,10,29052.0
2560,576,192,10,67315.0
2560,672,32,10,15338.0
2560,672,96,10,42875.0
2560,768,32,10,17293.0
2560,768,96,10,48703.0
2560,864,32,10,23878.0
2560,864,96,10,54682.0
2560,32,32,20,2101.0
2560,32,96,20,2743.0
2560,32,192,20,3802.0
2560,32,288,20,6465.0
2560,32,384,20,8202.0
2560,32,480,20,9817.0
2560,32,576,20,11385.0
2560,32,672,20,13021.0
2560,32,768,20,14700.0
2560,32,864,20,16320.0
2560,96,32,20,2770.0
2560,96,96,20,4666.0
2560,96,192,20,7362.0
2560,96,288,20,12664.0
2560,96,384,20,16550.0
2560,96,480,20,20363.0
2560,96,576,20,23691.0
2560,96,672,20,27552.0
2560,96,768,20,31642.0
2560,96,864,20,34324.0
2560,192,32,20,4044.0
2560,192,96,20,7508.0
2560,192,192,20,12779.0
2560,192,288,20,23367.0
2560,192,384,20,30662.0
2560,192,480,20,37996.0
2560,192,576,20,45171.0
2560,192,672,20,52412.0
2560,192,768,20,59686.0
2560,192,864,20,91529.0
2560,288,32,20,5172.0
2560,288,96,20,10397.0
2560,288,192,20,18194.0
2560,288,288,20,34125.0
2560,288,384,20,44898.0
2560,288,480,20,56220.0
2560,288,576,20,66424.0
2560,288,672,20,105916.0
2560,384,32,20,6310.0
2560,384,96,20,13253.0
2560,384,192,20,23496.0
2560,384,288,20,44677.0
2560,384,384,20,59024.0
2560,384,480,20,100913.0
2560,480,32,20,7516.0
2560,480,96,20,16140.0
2560,480,192,20,28940.0
2560,480,288,20,55466.0
2560,576,32,20,8666.0
2560,576,96,20,19034.0
2560,576,192,20,34347.0
2560,576,288,20,66212.0
2560,672,32,20,9819.0
2560,672,96,20,21973.0
2560,672,192,20,39712.0
2560,672,288,20,105762.0
2560,768,32,20,11082.0
2560,768,96,20,24845.0
2560,768,192,20,45113.0
2560,864,32,20,12249.0
2560,864,96,20,27754.0
2560,32,32,40,1928.0
2560,32,96,40,2575.0
2560,32,192,40,3324.0
2560,32,288,40,4757.0
2560,32,384,40,5825.0
2560,32,480,40,6838.0
2560,32,576,40,7840.0
2560,32,672,40,8944.0
2560,32,768,40,9961.0
2560,32,864,40,11021.0
2560,96,32,40,2602.0
2560,96,96,40,3880.0
2560,96,192,40,5989.0
2560,96,288,40,9165.0
2560,96,384,40,11668.0
2560,96,480,40,14125.0
2560,96,576,40,16807.0
2560,96,672,40,19242.0
2560,96,768,40,21881.0
2560,96,864,40,24375.0
2560,192,32,40,3282.0
2560,192,96,40,5986.0
2560,192,192,40,9982.0
2560,192,288,40,16460.0
2560,192,384,40,21410.0
2560,192,480,40,26365.0
2560,192,576,40,31359.0
2560,192,672,40,36298.0
2560,192,768,40,41252.0
2560,192,864,40,46097.0
2560,288,32,40,4048.0
2560,288,96,40,8030.0
2560,288,192,40,14003.0
2560,288,288,40,23755.0
2560,288,384,40,31164.0
2560,288,480,40,38626.0
2560,288,576,40,45995.0
2560,288,672,40,53313.0
2560,288,768,40,60766.0
2560,288,864,40,104671.0
2560,384,32,40,4856.0
2560,384,96,40,10134.0
2560,384,192,40,17957.0
2560,384,288,40,31095.0
2560,384,384,40,40942.0
2560,384,480,40,50695.0
2560,384,576,40,60615.0
2560,384,672,40,108106.0
2560,480,32,40,5676.0
2560,480,96,40,12265.0
2560,480,192,40,22004.0
2560,480,288,40,38397.0
2560,480,384,40,50581.0
2560,480,480,40,62945.0
2560,576,32,40,6517.0
2560,576,96,40,14390.0
2560,576,192,40,25974.0
2560,576,288,40,45745.0
2560,576,384,40,60497.0
2560,576,480,40,115778.0
2560,672,32,40,7286.0
2560,672,96,40,16452.0
2560,672,192,40,30024.0
2560,672,288,40,53152.0
2560,768,32,40,8081.0
2560,768,96,40,18602.0
2560,768,192,40,33997.0
2560,768,288,40,60093.0
2560,864,32,40,8960.0
2560,864,96,40,20703.0
2560,864,192,40,38075.0
2560,864,288,40,104303.0
2880,32,32,10,2738.0
2880,32,96,10,3647.0
2880,32,192,10,5213.0
2880,32,288,10,11002.0
2880,32,384,10,14376.0
2880,32,480,10,17633.0
2880,32,576,10,20689.0
2880,32,672,10,23798.0
2880,96,32,10,3814.0
2880,96,96,10,6732.0
2880,96,192,10,11257.0
2880,96,288,10,22157.0
2880,96,384,10,28620.0
2880,96,480,10,35364.0
2880,96,576,10,42437.0
2880,192,32,10,5921.0
2880,192,96,10,11710.0
2880,192,192,10,20289.0
2880,192,288,10,41364.0
2880,192,384,10,54573.0
2880,288,32,10,8099.0
2880,288,96,10,16648.0
2880,288,192,10,29346.0
2880,288,288,10,61033.0
2880,384,32,10,10231.0
2880,384,96,10,21607.0
2880,384,192,10,38386.0
2880,384,288,10,112151.0
2880,480,32,10,12401.0
2880,480,96,10,26553.0
2880,480,288,10,139993.0
2880,576,32,10,14421.0
2880,576,96,10,31572.0
2880,576,192,10,86625.0
2880,672,32,10,16706.0
2880,672,96,10,54477.0
2880,672,192,10,100900.0
2880,768,32,10,26322.0
2880,768,96,10,61923.0
2880,864,32,10,29399.0
2880,864,96,10,69848.0
2880,32,32,30,2035.0
2880,32,96,30,2596.0
2880,32,192,30,3542.0
2880,32,288,30,5661.0
2880,32,384,30,6976.0
2880,32,480,30,8408.0
2880,32,576,30,9663.0
2880,32,672,30,11053.0
2880,32,768,30,12344.0
2880,32,864,30,13669.0
2880,96,32,30,2622.0
2880,96,96,30,4205.0
2880,96,192,30,6690.0
2880,96,288,30,10878.0
2880,96,384,30,14144.0
2880,96,480,30,17424.0
2880,96,576,30,20457.0
2880,96,672,30,23587.0
2880,96,768,30,26703.0
2880,96,864,30,29894.0
2880,192,32,30,3596.0
2880,192,96,30,6818.0
2880,192,192,30,11371.0
2880,192,288,30,19900.0
2880,192,384,30,26110.0
2880,192,480,30,32196.0
